statement,key,year,match_kind,stored_value,expected_from_page,verdict,raw_label,src_pdf_year,note
cash_flow,AssetImpairmentCharge,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,BeginningCashPosition,2008,mapped,18014.0,18014,PASS,"Cash and cash equivalents, beginning of period",2010,"label='Cash and cash equivalents, beginning of period' sheet=0.018"
cash_flow,CashDividendsPaid,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashFromDiscontinuedInvestingActivities,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,CashFromDiscontinuedOperatingActivities,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInInventory,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInOtherWorkingCapital,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInPayablesAndAccruedExpense,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInPrepaidAssets,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInReceivables,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,ChangeInWorkingCapital,2008,mapped,10590.0,10590,PASS,Net change in non-cash working capital balances,2010,label='Net change in non-cash working capital balances' sheet=0.011
cash_flow,ChangesInCash,2008,mapped,1578.0,1578,PASS,Increase in cash,2010,label='Increase in cash' sheet=0.002
cash_flow,DepreciationAmortizationDepletion,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,EffectOfExchangeRateChanges,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,EndCashPosition,2008,mapped,19592.0,19592,PASS,"Cash and cash equivalents, end of period",2010,"label='Cash and cash equivalents, end of period' sheet=0.020"
cash_flow,FinancingCashFlow,2008,mapped,-6352.0,-6352,PASS,Financing activities total,2010,label='Financing activities total' sheet=-0.006
cash_flow,InvestingCashFlow,2008,mapped,-26384.0,-26384,PASS,Investing activities total,2010,label='Investing activities total' sheet=-0.026
cash_flow,IssuanceOfCapitalStock,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,IssuanceOfDebt,2008,mapped,15496.0,15496,PASS,Proceeds from long-term debt,2010,label='Proceeds from long-term debt' sheet=0.015
cash_flow,NetIncomeFromContinuingOperations,2008,mapped,-95175.0,-95175,PASS,Net earnings (loss) for the period,2010,label='Net earnings (loss) for the period' sheet=-0.095
cash_flow,NetIntangiblesPurchaseAndSale,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetOtherFinancingCharges,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetOtherInvestingChanges,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,NetPreferredStockIssuance,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,OtherNonCashItems,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,PurchaseOfBusiness,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,PurchaseOfInvestment,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,PurchaseOfPPE,2008,mapped,-3938.0,-3938,PASS,Purchase of property & equipment,2010,label='Purchase of property & equipment' sheet=-0.004
cash_flow,RepaymentOfDebt,2008,mapped,-750.0,-750,PASS,Repayment of long-term debt,2010,label='Repayment of long-term debt' sheet=-0.001
cash_flow,RepurchaseOfCapitalStock,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,SaleOfInvestment,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,SaleOfPPE,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
cash_flow,StockBasedCompensation,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,CostOfRevenue,2008,mapped,679442.0,679442,PASS,Cost of sales (note 8),2010,label='Cost of sales (note 8)' sheet=0.679
income_statement,DepreciationAmortizationDepletion,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,GrossProfit,2008,mapped,147052.0,147052,PASS,Gross profit,2010,label='Gross profit' sheet=0.147
income_statement,InterestExpenseNonOperating,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,InterestIncomeNonOperating,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,MinorityInterests,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,NetIncome,2008,mapped,-95175.0,-95175,PASS,Net earnings (loss) & comprehensive income (loss) for the year,2010,label='Net earnings (loss) & comprehensive income (loss) for the year' sheet=-0.095
income_statement,NetIncomeDiscontinuousOperations,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,NetNonOperatingInterestIncomeExpense,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,OperatingExpense,2008,mapped,252197.0,252197,PASS,Expenses total,2010,label='Expenses total' sheet=0.252
income_statement,OtherIncomeExpense,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,OtherOperatingExpenses,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,PretaxIncome,2008,mapped,-105145.0,-105145,PASS,Earnings (loss) before income taxes,2010,label='Earnings (loss) before income taxes' sheet=-0.105
income_statement,ResearchAndDevelopment,2008,absent_on_face,0.0,,PASS,,,no face/notes hit
income_statement,SellingGeneralAndAdministration,2008,mapped,114881.0,114881,PASS,"Selling, general and administrative",2010,"label='Selling, general and administrative' sheet=0.115"
income_statement,TotalRevenue,2008,mapped,826494.0,826494,PASS,Revenue total,2010,label='Revenue total' sheet=0.826
cash_flow,CapitalExpenditure,2008,derived,-3938.0,,PASS,,,identities clean
cash_flow,FreeCashFlow,2008,derived,30376.0,,PASS,,,identities clean
cash_flow,NetIssuancePaymentsOfDebt,2008,derived,14746.0,,PASS,,,identities clean
income_statement,EBIT,2008,derived,-105145.0,,PASS,,,identities clean
income_statement,EBITDA,2008,derived,-105145.0,,PASS,,,identities clean
income_statement,NetIncomeContinuousOperations,2008,derived,-95175.0,,PASS,,,identities clean
income_statement,OperatingIncome,2008,derived,-105145.0,,PASS,,,identities clean
income_statement,TaxProvision,2008,derived,-9970.0,,PASS,,,identities clean
balance_sheet,AccountsPayable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,AccountsReceivable,2009,mapped,31195.0,31195,PASS,"Accounts receivable 35,388",2010,"label='Accounts receivable 35,388' sheet=0.031"
balance_sheet,AccumulatedDepreciation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,AdditionalPaidInCapital,2009,mapped,3822.0,3822,PASS,"Contributed surplus (note 17) 3,918",2010,"label='Contributed surplus (note 17) 3,918' sheet=0.004"
balance_sheet,BuildingsAndImprovements,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CashAndCashEquivalents,2009,mapped,19592.0,19592,PASS,"Cash and cash equivalents 22,465",2010,"label='Cash and cash equivalents 22,465' sheet=0.020"
balance_sheet,CommonStock,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,ConstructionInProgress,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentAccruedExpenses,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentAssets,2009,mapped,195538.0,195538,PASS,Current assets total,2010,label='Current assets total' sheet=0.196
balance_sheet,CurrentCapitalLeaseObligation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDebt,2009,mapped,570.0,570,PASS,Current portion of long-term debt (note 13) 271,2010,label='Current portion of long-term debt (note 13) 271' sheet=0.001
balance_sheet,CurrentDeferredLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDeferredRevenue,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentDeferredTaxesLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,CurrentLiabilities,2009,mapped,161669.0,161669,PASS,Current liabilities total,2010,label='Current liabilities total' sheet=0.162
balance_sheet,FinishedGoods,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,GainsLossesNotAffectingRetainedEarnings,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,Goodwill,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,GrossPPE,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,InventoriesAdjustmentsAllowances,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,Inventory,2009,mapped,139948.0,139948,PASS,"Inventories (note 8) 108,324",2010,"label='Inventories (note 8) 108,324' sheet=0.140"
balance_sheet,InvestmentsAndAdvances,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LandAndImprovements,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LoansReceivable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LongTermCapitalLeaseObligation,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,LongTermDebt,2009,mapped,25522.0,25522,PASS,"Long-term debt (note 13) 23,074",2010,"label='Long-term debt (note 13) 23,074' sheet=0.026"
balance_sheet,MachineryFurnitureEquipment,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,MinorityInterest,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NetPPE,2009,mapped,17227.0,17227,PASS,"Property & equipment (note 9) 17,794",2010,"label='Property & equipment (note 9) 17,794' sheet=0.017"
balance_sheet,NonCurrentDeferredLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentDeferredRevenue,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentDeferredTaxesLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NonCurrentPensionAndOtherPostretirementBenefitPlans,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,NotesReceivable,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherIntangibleAssets,2009,mapped,43700.0,43700,PASS,"Intangible assets (note 10) 43,700",2010,"label='Intangible assets (note 10) 43,700' sheet=0.044"
balance_sheet,OtherInventories,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherNonCurrentAssets,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherNonCurrentLiabilities,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,OtherPayable,2009,mapped,1656.0,1656,PASS,Distributions payable (note 18) -,2010,label='Distributions payable (note 18) -' sheet=0.002
balance_sheet,OtherReceivables,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
balance_sheet,PayablesAndAccruedExpenses,2009,mapped,21990.0,21990,PASS,"Accounts payable and accrued liabilities 25,556",2010,"label='Accounts payable and accrued liabilities 25,556' sheet=0.022"
balance_sheet,PreferredStock,2009,absent_on_face,0.0,,PASS,,,no face/notes hit
