ticker,fill_rate_pct
LOT,0.83
SCD,1.65
NET.UN,10.74
HODL,17.36
HR.UN,17.36
JTWO,17.36
EQ,19.83
GSI,19.83
PRL,19.83
ZYUS,19.83
ESI,22.31
BAC,28.37
TA,28.93
BCC.H,30.5
ARG,31.21
BB,31.24
ACT,31.4
FLM,31.4
VBNK,31.91
IGO,32.55
UIG,32.73
EMET,33.47
VLLC,33.47
ATHA,33.88
KYS.H,35.45
CCMM,36.09
RGN,37.19
SEAS,37.19
RIWI,38.31
NRC,39.12
RAD,39.94
ARIC,41.32
CP,42.5
IMO,42.56
HMMC,42.7
AMG.P,42.81
ZTE,42.98
RMI,43.39
GOFL,43.8
IVX,44.43
FTU,44.63
RRM.H,44.72
FV.H,45.1
CC,45.45
DWS,46.22
CTTT,46.28
EXCL,46.28
LILL.P,46.28
RTO.P,46.28
SRQ,46.28
LULU,47.11
NTR,47.11
KLS,47.77
NVI,47.89
MRKI.P,47.93
SAI.H,47.93
DAN,48.26
FRED,48.43
NPT,48.48
VAL.P,48.52
CAT,48.76
RFR,48.76
SCV,48.76
MKZ.UN,49.06
MAXM,49.17
ERA,49.27
LGHT,49.31
WILD,49.34
SHK.P,49.38
BGAU,49.59
FT,49.59
IAN,49.59
ICM,49.59
TNT.UN,49.59
CYM,49.7
ICWY.P,50.0
NCX,50.0
ALTN,50.41
DBO,50.41
LEXT,50.41
MIR,50.41
OILS,50.41
SHRC,50.41
DS,50.69
CHR,50.76
CCI,50.96
SMAR.P,51.14
PCRX,51.4
WWA.P,52.07
ICE,52.21
IGM,52.58
VPI,52.71
RPP,52.75
HARD,52.89
YES,52.89
RFA,53.39
BYN,53.48
PDV,53.79
XTD,53.79
CAG,54.32
JAB.P,54.41
DLCG,54.78
AFE,55.03
NA,55.19
WHY,55.44
LOVE,55.48
INVR,55.65
OM,55.73
CNQ,55.85
FUN.P,56.03
RCT,56.3
RGI,56.3
PLUR,56.43
FDI,56.65
TTZ,56.73
TTS,57.02
BTCT,57.44
ERE.UN,57.44
LFE,57.51
DOS,57.79
MANU,57.97
RGR,58.26
SNDL,58.4
BNS,58.44
RSI,58.44
BNZ,58.59
CVW,58.6
PCAA.P,58.84
SFD,58.84
HMCC.P,59.09
SMCD.P,59.09
VRTS,59.14
VML,59.15
MRZ,59.55
SGN,59.62
ASTL,59.64
KGS,59.67
GURU,59.74
EDCU,59.87
IFC,60.06
KIP,60.42
PPM,60.54
NKW.H,60.57
CH,60.74
WAT.P,60.83
SPB,61.04
LUC,61.23
SVP.H,61.38
EDW.H,61.46
NPV,61.49
GEI,61.53
COSA,61.57
GLDR,61.57
BRC,61.67
ABI,61.98
LFG,61.98
SUI,62.24
OR,62.4
NOU,62.73
CEN.H,62.86
LFNT,63.09
PEZM.H,63.11
AFN,63.26
DPF,63.31
GOOD,63.34
AIME.P,63.36
BYD,63.36
AROW.P,63.64
MEK,63.64
ORV,63.64
VIO,63.78
PTU,64.03
BYL,64.1
SN.H,64.1
AIV.P,64.13
TOY,64.23
BGI.UN,64.82
WFG,64.88
RYE,64.96
SXGC,65.01
VAX,65.01
OVL.H,65.45
WIN,65.56
DCNN.X,65.7
TPX.B,65.75
XMF.A,65.84
AWI,65.89
TLA,65.98
DOCT,66.12
PCQ,66.12
STR.H,66.16
PEY,66.23
GIGA,66.35
SCM,66.39
KCP,66.43
REVX,66.48
GSR,66.53
TRBE,66.63
URZ,66.67
COLL.P,66.78
VMXX,66.78
DRM,66.8
ZON,66.89
HOM.U,66.94
MCL,66.94
FBR.H,67.05
WHIP,67.15
WBE,67.27
USA,67.31
BQE,67.33
VCI,67.54
LSD.H,67.71
MGA,67.71
BPF.UN,67.71
ENI.UN,67.77
MJRX,67.77
NANO,67.77
YRB,67.96
